doc_name,doc_data
constitution_2020, 2020
constitution_2016,2016
constitution_2008,2008
constitution_2002,2002
constitution_1996,1996
ORDONNANCE n° 03-11 — relative à la monnaie et au crédit.,2003-08-26
ORDONNANCE n° 03-12 — relative à l'obligation d'assurance des catastrophes naturelles et à l'indemnisation des victimes.,2003-08-26
DÉCRET PRÉSIDENTIEL n° 03-281 — portant transfert de crédits au budget de fonctionnement du ministère de l'intérieur et des collectivités locales.,2003-08-24
DÉCRET PRÉSIDENTIEL n° 03-282 — portant transfert de crédits au budget de fonctionnement du ministère des affaires étrangères.,2003-08-24
"DÉCRET EXÉCUTIF n° 03-283 — portant création d'un chapitre et virement de crédits, au sein du budget de fonctionnement du ministère de l'intérieur et des collectivités locales.",2003-08-25
DÉCRET EXÉCUTIF n° 03-284 — fixant les conditions et les modalités d'octroi d'aides au profit des familles des victimes et aux sinistrés du séisme du 21 mai 2003.,2003-08-25
DÉCRET PRÉSIDENTIEL — mettant fin aux fonctions du secrétaire général du ministère des affaires étrangères.,2003-08-26
DÉCRET PRÉSIDENTIEL — mettant fin aux fonctions du directeur général Amérique au ministère des affaires étrangères.,2003-08-26
DÉCRET PRÉSIDENTIEL — portant nomination du secrétaire général du ministère des affaires étrangères.,2003-08-26
ARRÊTÉ — portant délégation de signature au directeur de cabinet.,2003-07-15
ARRÊTÉ — portant délégation de signature au chef de cabinet.,2003-07-15
"ARRÊTÉ INTERMINISTÉRIEL — portant renouvellement du détachement du président du tribunal militaire permanent de Constantine, 5ème région militaire.",2003-08-07
DECRET EXECUTIF n° 04-379 — instituant une indemnité de responsabilité personnelle au profit des agents comptables agréés auprès des postes diplomatiques et consulaires.,2004-11-28
DECRET EXECUTIF n° 04-380 — portant virement de crédits au sein du budget de fonctionnement du ministère du commerce.,2004-11-28
DECRET EXECUTIF n° 04-381 — fixant les règles de la circulation routière.,2004-11-28
LOI n° 04-18 — relative à la prévention et à la répression de l'usage et du trafic illicites de stupéfiants et de substances psychotropes.,2004-12-25
LOI n° 04-19 — relative au placement des travailleurs et au contrôle de l'emploi.,2004-12-25
DÉCRET EXÉCUTIF n° 04-419 — portant transformation de l'institut national de la recherche agronomique d'Algérie en établissement public à caractère scientifique et technologique.,2004-12-20
DÉCRET EXÉCUTIF n° 04-420 — portant transformation de l'institut national de la recherche forestière en établissement public à caractère scientifique et technologique.,2004-12-20
DÉCRET EXÉCUTIF n° 04-421 — fixant les modalités de consultation préalable des administrations chargées du tourisme et de la culture en matière de délivrance du permis de construire dans les zones d'expansion et sites touristiques.,2004-12-20
"DÉCRET EXÉCUTIF n° 04-422 — portant attribution à la société nationale «SONATRACH» d'un permis de recherche d'hydrocarbures sur le périmètre dénommé ""Oudoumé"" (blocs : 223 b et 244 b).",2004-12-22
"DÉCRET EXÉCUTIF n° 04-423 — portant attribution à la société nationale ""SONATRACH"" d'un permis d'exploitation du gisement d'hydrocarbures de ""Kermad (KMD) réservoir trias argilo-gréseux inférieur (TAGI) "" situé dans le périmètre de recherche dénommé ""Menzel Lejmat"" (bloc : 405a).",2004-12-22
"DÉCRET EXÉCUTIF n° 04-424 — portant attribution à la société nationale ""SONATRACH”"" d'un permis d'exploitation du gisement d'hydrocarbures de ""Menzel Lejmat central (MLC) réservoir trias argilo-gréseux inférieur (TAGI) "" situé dans le périmètre de recherche dénommé ""Menzel Lejmat"" (bloc: 405 a).",2004-12-22
"DÉCRET EXÉCUTIF n° 04-425 — portant attribution à la société nationale «SONATRACH» d'un permis d'exploitation du gisement d'hydrocarbures de ""Menzel Lejmat Nord Ouest-TAGI, (MLNW-TAGI) réservoir trias argilo-gréseux inférieur (TAGI)”"" situé dans le périmètre de recherche dénommé ""Menzel Lejmat”"" (Bloc : 405a).",2004-12-22
"DÉCRET EXÉCUTIF n° 04-426 — portant attribution à la société nationale “SONATRACH” d'un permis d'exploitation du gisement d'hydrocarbures de ""Menzel Lejmat Nord-Ouest- F1 (MLNW-F1) réservoir carbonifère F1"" situé dans le périmètre de recherche denommé ""Menzel Lejmat"" (bloc : 405 a).",2004-12-22
"DÉCRET EXÉCUTIF n° 04-427 — portant attribution à la société nationale “SONATRACH"" d'un permis d'exploitation du gisement d'hydrocarbures de « Menzel Lejmat Nord-Ouest- F2 (MLW-F2) réservoir carbonifère-F2», situé dans le périmètre de recherche dénommé «Menzel Lejmat» (bloc : 405a).",2004-12-22
DÉCRET EXÉCUTIF n° 04-428 — portant attribution à la société nationale «SONATRACH» d'un permis d'exploitation du gisement d'hydrocarbures de « Menzel Lejmat Ouest (MLW) – réservoir carbonifère» situé dans le périmètre de recherche dénommé «Menzel Lejmat» (bloc: 405a).,2004-12-22
