visa,doc
constitution_1996,DECRET EXECUTIF n° 04-379 — instituant une indemnité de responsabilité personnelle au profit des agents comptables agréés auprès des postes diplomatiques et consulaires.
le décret n° 85-59 portant statut-type des travailleurs des institutions et administrations publiques,DECRET EXECUTIF n° 04-379 — instituant une indemnité de responsabilité personnelle au profit des agents comptables agréés auprès des postes diplomatiques et consulaires.
DECRET PRESIDENTIEL n° 96-442 — portant statut des agents diplomatiques et consulaires,DECRET EXECUTIF n° 04-379 — instituant une indemnité de responsabilité personnelle au profit des agents comptables agréés auprès des postes diplomatiques et consulaires.
DECRET PRESIDENTIEL n° 97-498 — relatif à la gestion administrative et financière des postes diplomatiques et consulaires,DECRET EXECUTIF n° 04-379 — instituant une indemnité de responsabilité personnelle au profit des agents comptables agréés auprès des postes diplomatiques et consulaires.
DECRET PRESIDENTIEL n° 04-136 — portant nomination du Chef du Gouvernement,DECRET EXECUTIF n° 04-379 — instituant une indemnité de responsabilité personnelle au profit des agents comptables agréés auprès des postes diplomatiques et consulaires.
DECRET PRESIDENTIEL n° 04-138 — portant nomination des membres du Gouvernement,DECRET EXECUTIF n° 04-379 — instituant une indemnité de responsabilité personnelle au profit des agents comptables agréés auprès des postes diplomatiques et consulaires.
DECRET EXECUTIF n° 91-311 — relatif à la nomination et à l'agrément des comptables publics,DECRET EXECUTIF n° 04-379 — instituant une indemnité de responsabilité personnelle au profit des agents comptables agréés auprès des postes diplomatiques et consulaires.
constitution_1996,DECRET EXECUTIF n° 04-380 — portant virement de crédits au sein du budget de fonctionnement du ministère du commerce.
LOI n° 84-17 — relative aux lois de finances,DECRET EXECUTIF n° 04-380 — portant virement de crédits au sein du budget de fonctionnement du ministère du commerce.
LOI n° 03-22 — portant loi de finances pour 2004,DECRET EXECUTIF n° 04-380 — portant virement de crédits au sein du budget de fonctionnement du ministère du commerce.
